                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.90527,                0.52481,                 1.1029,                0.88479,                0.83983,                0.88682,                0.59982,                 1.3069,                0.71387,                 1.3448,               0.001981,               0.001981,               0.001981
                     84,                0.89299,                0.50941,                 1.0959,                0.87918,                 0.8412,                 0.8864,                0.60083,                 1.3035,                0.71085,                 1.3455,               0.001882,               0.001882,               0.001882
                     85,                 0.8871,                0.50558,                 1.0939,                0.87624,                 0.8431,                0.88502,                0.60137,                 1.3028,                 0.7162,                 1.3488,               0.001783,               0.001783,               0.001783
                     86,                 0.8826,                0.50283,                 1.0931,                0.87969,                0.84262,                0.88555,                0.60189,                 1.3061,                0.71946,                 1.3543,               0.001684,               0.001684,               0.001684
                     87,                0.87273,                0.50004,                 1.0864,                0.88374,                0.84123,                0.88726,                0.60531,                 1.3066,                0.71686,                  1.355,               0.001585,               0.001585,               0.001585
                     88,                0.86112,                0.49008,                 1.0726,                0.88324,                0.84816,                0.88817,                0.60666,                  1.305,                0.71357,                 1.3555,               0.001486,               0.001486,               0.001486
                     89,                 0.8614,                0.48869,                 1.0765,                0.88175,                0.85677,                0.88882,                0.60757,                 1.3059,                0.71065,                 1.3569,               0.001387,               0.001387,               0.001387
                     90,                0.84654,                0.48374,                  1.075,                0.89042,                0.85449,                0.89078,                0.60874,                 1.3042,                0.70995,                 1.3581,               0.001288,               0.001288,               0.001288
                     91,                0.79285,                0.40419,                  1.029,                0.89328,                  0.851,                 0.8906,                0.60862,                 1.3038,                0.71336,                 1.3565,               0.001189,               0.001189,               0.001189
                     92,                0.77104,                0.39457,                 1.0203,                0.89207,                0.85185,                0.89037,                0.60967,                 1.2976,                0.71559,                 1.3534,                0.00109,                0.00109,                0.00109
                     93,                0.76042,                0.39053,                 1.0176,                0.89184,                 0.8498,                0.89051,                0.61123,                 1.2983,                0.71623,                 1.3573,               0.000991,               0.000991,               0.000991
                     94,                0.74743,                0.38027,                 1.0114,                0.89535,                0.84471,                0.89186,                0.61172,                 1.2941,                0.71326,                 1.3569,               0.000892,               0.000892,               0.000892
                     95,                0.73529,                0.37243,                0.99899,                0.88915,                0.84749,                0.89087,                0.61354,                 1.2892,                0.71637,                 1.3563,               0.000793,               0.000793,               0.000793
                     96,                0.72626,                0.37243,                 0.9954,                 0.8856,                 0.8464,                0.88861,                0.61388,                 1.2833,                0.71375,                  1.354,               0.000694,               0.000694,               0.000694
                     97,                0.72117,                0.36563,                0.99221,                0.88545,                0.85046,                0.89108,                0.61469,                 1.2803,                0.71273,                 1.3523,               0.000595,               0.000595,               0.000595
                     98,                0.70851,                0.35927,                0.98727,                0.88552,                0.85028,                0.89045,                0.61783,                 1.2761,                0.71202,                 1.3502,               0.000496,               0.000496,               0.000496
                     99,                0.70124,                0.35741,                0.98417,                0.88398,                0.85724,                0.89312,                0.61948,                  1.274,                0.71173,                 1.3503,               0.000397,               0.000397,               0.000397
                    100,                0.69868,                0.35657,                0.98245,                 0.8809,                0.86011,                0.89315,                0.61995,                 1.2714,                0.71116,                 1.3496,               0.000298,               0.000298,               0.000298
