                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.98075,                0.56892,                 1.1409,                 0.8653,                0.84192,                0.87624,                0.57864,                 1.3533,                0.76041,                 1.3845,               0.004456,               0.004456,               0.004456
                     87,                0.97533,                0.57131,                 1.1384,                 0.8616,                 0.8454,                0.87726,                0.57886,                 1.3513,                0.77028,                 1.3814,                0.00439,                0.00439,                0.00439
                     88,                0.96463,                0.55816,                 1.1305,                0.86878,                 0.8468,                0.87786,                0.58091,                 1.3485,                0.76327,                 1.3837,               0.004324,               0.004324,               0.004324
                     89,                0.95997,                 0.5575,                 1.1272,                0.85377,                0.84569,                0.87697,                0.58293,                 1.3474,                0.75432,                 1.3853,               0.004258,               0.004258,               0.004258
                     90,                0.95218,                0.55317,                 1.1229,                0.85357,                0.84027,                0.87865,                0.58592,                 1.3348,                0.74996,                 1.3714,               0.004192,               0.004192,               0.004192
                     91,                0.95954,                0.56215,                 1.1293,                0.85639,                 0.8468,                0.88039,                0.58644,                 1.3334,                0.75125,                   1.37,               0.004126,               0.004126,               0.004126
                     92,                0.94908,                0.55674,                 1.1198,                0.86344,                 0.8454,                0.88178,                0.58781,                  1.331,                0.74588,                 1.3663,                0.00406,                0.00406,                0.00406
                     93,                 0.9411,                0.54784,                   1.12,                0.86653,                0.84749,                0.88005,                0.58802,                 1.3286,                0.74415,                 1.3654,               0.003994,               0.003994,               0.003994
                     94,                0.93602,                0.54459,                 1.1178,                0.87466,                0.84889,                0.88038,                0.58933,                  1.329,                0.73563,                 1.3708,               0.003928,               0.003928,               0.003928
                     95,                0.92261,                0.53705,                 1.1101,                0.86963,                0.83844,                0.87786,                0.59068,                 1.3232,                0.73697,                 1.3734,               0.003862,               0.003862,               0.003862
                     96,                0.92438,                0.53711,                 1.1138,                0.86546,                0.84749,                0.87777,                0.59382,                 1.3199,                0.74068,                 1.3719,               0.003796,               0.003796,               0.003796
                     97,                0.92019,                0.53528,                 1.1083,                0.87156,                0.84585,                0.87909,                0.59513,                 1.3234,                0.73391,                 1.3785,                0.00373,                0.00373,                0.00373
                     98,                0.90924,                0.52716,                  1.102,                0.87182,                 0.8454,                0.88019,                0.59692,                 1.3195,                0.73308,                 1.3788,               0.003664,               0.003664,               0.003664
                     99,                0.92589,                0.53331,                 1.1072,                 0.8727,                 0.8454,                 0.8804,                0.59624,                 1.3203,                0.73363,                 1.3833,               0.003598,               0.003598,               0.003598
                    100,                0.89497,                0.51812,                 1.1003,                0.86801,                0.84724,                0.87869,                 0.5982,                 1.3153,                0.72806,                 1.3843,               0.003532,               0.003532,               0.003532
                    101,                0.89992,                0.52074,                 1.0987,                0.87171,                0.84226,                0.87902,                0.59758,                 1.3136,                0.72423,                 1.3854,               0.003466,               0.003466,               0.003466
                    102,                0.88476,                0.51381,                 1.0918,                0.86955,                0.84018,                0.88001,                0.59887,                 1.3106,                0.72235,                 1.3834,                 0.0034,                 0.0034,                 0.0034
                    103,                0.88552,                0.51354,                 1.0887,                0.86323,                0.84825,                0.88044,                0.59961,                 1.3123,                 0.7215,                 1.3835,               0.003334,               0.003334,               0.003334
                    104,                0.87601,                0.50289,                 1.0869,                0.87036,                0.83689,                0.88161,                0.59993,                 1.3093,                0.71923,                 1.3824,               0.003268,               0.003268,               0.003268
                    105,                0.87225,                0.50544,                 1.0854,                0.87143,                0.83844,                0.88119,                0.60123,                 1.3051,                0.71791,                 1.3774,               0.003202,               0.003202,               0.003202
                    106,                0.86932,                0.50116,                 1.0808,                0.87164,                0.83914,                 0.8818,                 0.6036,                 1.2993,                0.71935,                 1.3728,               0.003136,               0.003136,               0.003136
                    107,                0.86589,                0.49785,                 1.0793,                0.88008,                0.83635,                0.88335,                0.60621,                 1.2975,                0.71601,                 1.3693,                0.00307,                0.00307,                0.00307
                    108,                0.86319,                0.48704,                 1.0735,                0.87549,                0.83914,                0.88396,                 0.6075,                  1.293,                0.71241,                 1.3641,               0.003004,               0.003004,               0.003004
                    109,                0.86422,                0.49871,                 1.0845,                0.87289,                0.84053,                0.88408,                 0.6091,                  1.291,                0.71748,                 1.3614,               0.002938,               0.002938,               0.002938
                    110,                0.85072,                0.49429,                 1.0713,                0.90316,                0.81187,                0.88162,                0.61006,                 1.2889,                0.72107,                 1.3604,               0.002872,               0.002872,               0.002872
                    111,                0.84748,                0.48128,                 1.0696,                0.86124,                0.85146,                 0.8826,                0.60949,                 1.2875,                0.72186,                 1.3602,               0.002806,               0.002806,               0.002806
                    112,                0.84116,                0.48584,                 1.0732,                0.86011,                0.85655,                0.88173,                0.61103,                 1.2865,                0.72429,                 1.3602,                0.00274,                0.00274,                0.00274
                    113,                0.83726,                0.48351,                 1.0647,                0.86344,                 0.8468,                0.88172,                0.61194,                 1.2829,                  0.723,                 1.3579,               0.002674,               0.002674,               0.002674
                    114,                0.82566,                0.47787,                 1.0648,                0.85989,                0.85478,                0.88092,                 0.6117,                 1.2811,                0.72307,                 1.3577,               0.002608,               0.002608,               0.002608
                    115,                0.81758,                0.47253,                  1.058,                0.86149,                0.85329,                0.88137,                0.61247,                 1.2784,                0.72305,                 1.3576,               0.002542,               0.002542,               0.002542
                    116,                0.82117,                0.47457,                 1.0633,                0.86638,                0.84883,                0.88289,                 0.6138,                 1.2745,                0.72535,                 1.3554,               0.002476,               0.002476,               0.002476
                    117,                0.80801,                0.46479,                 1.0517,                0.86688,                0.85252,                0.88312,                0.61419,                 1.2738,                0.72311,                  1.356,                0.00241,                0.00241,                0.00241
                    118,                0.81171,                0.46811,                 1.0539,                0.86571,                 0.8454,                0.88331,                0.61482,                  1.272,                0.72276,                 1.3547,               0.002344,               0.002344,               0.002344
                    119,                0.80912,                0.46463,                 1.0541,                0.87498,                0.84401,                0.88395,                0.61741,                 1.2718,                0.72196,                 1.3551,               0.002278,               0.002278,               0.002278
                    120,                0.79265,                0.46114,                 1.0426,                0.87499,                0.84819,                0.88365,                 0.6174,                 1.2697,                0.72111,                  1.354,               0.002212,               0.002212,               0.002212
                    121,                0.79166,                0.45466,                 1.0435,                0.87591,                0.84889,                0.88319,                0.61887,                 1.2666,                0.71919,                 1.3524,               0.002146,               0.002146,               0.002146
